index,Primary Investor Type,target Investment Country,Investment Type,Preferred Industry
690,"107,131",47,"26,40,49","7,85,108,129,150,155,255,263"
691,4,0,0,0
692,4,0,0,0
693,4,0,0,0
694,4,0,0,0
695,4,0,0,0
696,4,0,0,0
697,4,0,0,0
698,21,0,0,36
699,4,0,0,0
700,4,0,0,0
701,4,0,0,0
702,80,0,0,0
703,4,0,0,0
704,21,0,0,107
705,4,0,0,0
706,"105",0,"0",0
707,4,0,0,0
708,4,0,0,0
709,"85",36,"0","233"
710,80,0,0,153
711,"85",0,"0","111,203"
712,21,0,0,"129"
713,21,0,"0","214"
714,131,35,0,"143,154,241"
715,"21",0,"0",106
716,4,0,0,0
717,"85",0,"0",255
718,"21",0,"0",241
719,97,35,0,"150"
