index,Primary Investor Type,Target Investment Country,Investment Type,Preferred Industry
417,97,52,0,0
418,9,0,21;81,0
419,21,0,0,0
420,131,0,0,43;270
421,74,0,0,30;42;88;90;91;147;153
422,131,2;78;79,26,108;255
423,131,115,6;26;66;81,108
424,1,0,0,79;255
425,28,0,0,43;91;128
426,97,33;115,0,28;91;232
427,131,0,66;67;81;83,0
428,97,33,0,0
429,1,0,38,0
430,131,20;33;101;110,66,255
431,97;107,0,59,36;57;80;129;171
432,131,51,0,255
433,131,0,0,8;19;66;108
434,131,0,0,71;80;108;167;255
435,4;131,0,6,0
436,5,0,0,43
438,21,0,0,0
439,131,33,26,8;19;68;208;241
440,97,4;46;101,0,107;129;147;165;171;232
441,28,0,0,129
442,107;131,0,0,7;108;113;128;129;153;165;241
443,1,16,26;49;81;60,36;42;91
444,131,0,26,0
445,107;131,0,0,36;100;241
446,6,52,21;24;37;68,0
447,131,0,26;40,8;19;29;31;64;71;88;91;97;154;225
448,131,31,26,108
449,74,0,13;26;40;60,49
450,131,0,26,0
451,97,79,0,36;57;58;129;153;227
452,131,33,0,57;100;108;151;241
453,131,0,26,84;85;100;129;255
454,28,0,0,47;107;129;143;153;255
455,1,33,0,129
456,131,102,0,29;83;129;153;169;241;255;274
457,21,0,0,0
458,107;131,115,0,66;153;241
459,131,0,0,7;84;108;113;215
460,67,0,0,51;94;102;154;230;263
461,131,0,26,0
462,131,14,0,26,64
463,131,21,0,129;171;177;255
464,28,0,26,31
465,97,87,0,0
466,131,115;34;35;36;114,0,8;19;120;241
467,131,87;102,0,8;19;43;68;173;273
468,59,0,30;54,0
469,131,0,0,255
470,42,35,26,57;108;175;221
471,58,35,28,0
472,1;64,0,0,108
473,131,0,26;49;81,0
474,97,52,0,7;112;255
475,131,0,26,255
476,131,0,26;40,85;107;129;254
477,131;64,0,8;19;29;43;64;73;75;76;81;185;196;208;233;263;268;273
478,131,0,0,129;166;251
479,131,33,0,36;83;154;182;268
480,94,0,0,0
481,133,0,0,0
482,85,0,0,0
483,64,0,43,84;108;126;129;176
484,34,0,0,0
485,94,0,0,0
486,131,0,0,241
487,94,0,0,0
488,0,0,0,0
489,21,0,0,0
490,59,0,0,28
491,21,0,0,0
492,21,0,0,0
493,94,0,0,0
494,94,0,0,0
495,94,0,0,0
496,34,0,0,0
497,94,0,0,0
498,4,0,6,0
499,2,0,0,0
500,94,0,0,0
501,85,0,0,0
502,21,0,0,0
503,34,0,0,0
504,94,0,0,0
505,21,0,0,0
506,21,0,0,0
507,34,0,0,0
508,85,0,0,0
509,21,0,0,0
510,97,0,10;39,153;255
511,131,0,0,128
512,34,0,0,0
513,94,0,0,0
514,104,0,0,36;227
515,21,0,0,0
516,94,0,0,0
517,34,0,0,0
518,85,0,0,0
519,131,0,0,153
520,42,0,6;69;81,129;227
521,4,0,6,0
522,4,0,6,0
523,4,0,6,0
524,4,0,6,0
525,4,0,6,0
526,21,0,0,0
527,21,0,0,0
528,34,0,0,0
529,71,0,0,0
530,97,0,0,0
531,34,0,0,0
532,94,0,0,0
533,59,0,30,35
534,131,0,26,0
535,70;42,0,0,36;57;107;182
537,94,0,0,0
538,131,0,26,255
539,21,0,0,0
540,98,0,0,0
